day,time_ms,src,dst,relation
0,7857852,1,3993630,5
0,7860977,1,3181660,5
0,7862420,1,1582548,5
0,7866986,1,5208994,5
2,21455967,1,2330216,5
2,21472493,1,4483813,5
2,21475362,1,4921394,5
3,26385447,1,4966471,5
3,26386914,1,4242568,5
3,26390396,1,1035238,5
3,26391770,1,4419877,5
3,54485888,1,3215549,5
3,54487674,1,1228498,5
4,43187060,1,5397591,5
4,43191509,1,5153081,5
5,24887993,1,2609785,5
5,24889470,1,4231085,5
5,31326834,1,4231085,5
5,31830741,1,709601,5
5,62804556,1,2839597,5
5,62819642,1,2004060,5
6,78754377,1,2361124,5
6,78757003,1,365938,5
6,78758507,1,602291,5
6,85149708,1,4765464,5
7,59378998,1,768990,5
7,59384126,1,803473,5
7,59385525,1,11673,5
9,60919471,1,4773415,5
9,60920039,1,4710580,5
9,60921375,1,1022665,5
9,60922603,1,4217938,5
4,10474791,270,4966471,5
5,54707584,270,3993630,5
5,55138224,319,2839597,5
6,32318820,407,2839597,5
9,46809772,625,4773415,5
4,23917845,696,768990,5
5,62409003,864,2609785,5
6,35008052,954,3215549,5
9,30857410,1114,4773415,5
5,58217017,1541,3215549,5
5,25160975,1880,4242568,5
1,36321592,2227,365938,5
6,46896514,2353,5397591,5
2,84696605,3043,1513543,5
0,19534497,3210,3993630,5
5,32357317,3274,2839597,5
7,58255926,4148,1075474,5
7,31950572,4285,1582548,5
7,31957900,4285,2330216,5
9,10769983,4450,4710580,5
8,32373326,5212,3215549,5
5,84535406,5256,2839597,5
1,41641332,6214,3993630,5
1,41654514,6214,3181660,5
1,41696492,6214,3181660,5
1,41716312,6214,3993630,5
4,22343599,6214,4966471,5
5,84157424,6376,19388,5
8,47905953,6376,1928779,5
5,83887717,6962,3215549,5
4,54156844,7220,768990,5
6,2439222,7488,365938,5
6,2455916,7488,5397591,5
3,67718407,7713,365938,5
8,73150493,8231,1022665,5
7,77522643,8360,709601,5
5,31425823,8665,709601,5
6,81348433,8874,602291,5
6,30564548,9352,2839597,5
7,69984677,9491,1022665,5
9,30425800,9494,1075474,5
3,39912572,9864,365938,5
0,31587223,10187,4966471,5
9,27858321,10383,4710580,5
2,47126064,10688,365938,5
8,55224279,10802,4773415,5
2,84424164,10989,2330216,5
5,44051879,11162,2609785,5
0,51988629,12003,4231085,5
6,73975692,12280,602291,5
9,82181815,12388,3215549,5
6,46502918,12459,768990,5
0,31529644,12659,5153081,5
9,50810011,13040,1022665,5
3,17716021,13146,4773415,5
2,20464873,13407,5397591,5
3,19890452,13730,365938,5
5,23502371,14161,768990,5
0,26365237,14298,3993630,5
2,32422608,14319,4082310,5
2,32518022,14319,4024298,5
7,14763159,14319,4744594,5
7,64170229,14319,1325037,5
7,64406387,14319,4430256,5
8,13508183,14319,4949097,5
7,21441752,14685,602291,5
4,46230102,14853,1582548,5
6,36172813,14967,602291,5
3,84660650,15758,4773415,5
9,54043865,16144,2361124,5
2,84529960,16146,2361124,5
0,54322986,16290,4242568,5
8,3476923,16312,365938,5
6,51449987,17864,4966471,5
9,6958188,18014,3215549,5
5,28528751,18047,1022665,5
5,9797277,18754,4921394,5
3,71128337,19091,365938,5
3,65751899,19209,4773415,5
3,46789691,19388,4831239,5
4,55077691,19388,3056913,5
6,62562386,19880,2839597,5
3,83772877,20479,4966471,5
6,40972821,20779,709601,5
5,48307164,20883,2609785,5
7,58369561,20910,768990,5
7,46076883,21003,602291,5
9,46751010,21107,3215549,5
7,19171018,21130,3215549,5
2,17661702,21259,4966471,5
1,38911832,22537,365938,5
6,75204043,22812,768990,5
4,55784822,23437,4773415,5
1,57963104,23450,4966471,5
9,59197322,23503,709601,5
5,60440629,23620,2839597,5
5,60535690,23684,2609785,5
3,4614414,23778,365938,5
3,4620307,23778,1582548,5
5,36613108,23816,4242568,5
3,32711044,24062,5208994,5
3,32711918,24062,5208994,5
7,20742314,24062,3993630,5
7,20744179,24062,3993630,5
7,5650687,24221,2330216,5
5,11678157,24319,2839597,5
7,3435263,25174,1022665,5
8,34325763,25323,709601,5
9,81435128,25792,3215549,5
2,13588272,25799,4231085,5
0,57012133,26150,2330216,5
4,45543944,26150,5208994,5
7,6463317,26971,4966471,5
5,5426721,27077,5208994,5
4,40109789,27301,2609785,5
6,18244203,27381,709601,5
6,20471793,27381,709601,5
9,55782606,27701,1022665,5
4,53399766,27892,3215549,5
2,45397010,28207,5153081,5
3,68975034,28326,768990,5
9,36106484,28344,709601,5
9,52678956,28474,482344,5
9,49130471,29350,4710580,5
2,15724338,29547,2330216,5
3,51533424,29615,768990,5
8,34830924,30001,602291,5
5,46623743,30217,709601,5
5,75400962,30242,768990,5
9,36583534,30406,1022665,5
0,26927917,30544,365938,5
6,36980510,30839,768990,5
3,62133092,31299,4773415,5
8,45400258,32089,709601,5
7,76354383,32268,709601,5
1,49213980,32269,4921394,5
5,4671825,32412,1582548,5
6,55348007,32446,709601,5
2,65208272,32636,4773415,5
7,71403693,33109,1022665,5
6,55995025,33206,3215549,5
6,32068570,33307,602291,5
3,56924971,33406,365938,5
0,20726888,34032,4231085,5
7,24554134,34167,1022665,5
7,31295630,34210,4773415,5
7,83590737,34261,4773415,5
7,83598886,34261,4773415,5
9,33360559,34352,2004060,5
3,47808273,34444,1228498,5
0,50130294,34854,3993630,5
7,82876363,35350,4773415,5
2,42777930,35381,1980335,5
9,43278919,35381,2230521,5
9,60908526,36113,1022665,5
5,47764528,36491,602291,5
5,81170831,36491,602291,5
8,60302013,36586,602291,5
7,43426364,36593,3215549,5
5,38784242,38423,3215549,5
0,79764774,38461,365938,5
3,77194078,38792,4773415,5
5,33252458,39614,1582548,5
4,61450612,40176,3993630,5
9,19265052,40284,3215549,5
8,79496985,40315,709601,5
5,38998902,40963,602291,5
3,4871306,40975,4419877,5
3,55658814,41060,11673,5
3,57239402,41692,768990,5
8,58088919,41887,3215549,5
7,20765493,41929,4966471,5
1,10482402,42220,4921394,5
5,18786442,42316,3215549,5
9,82248886,42424,709601,5
1,74289774,42774,2361124,5
9,48449175,43425,4710580,5
6,81530001,43447,3181660,5
0,57905514,43457,2330216,5
9,30151596,43709,4773415,5
9,23531890,43775,1022665,5
4,65799691,43989,4773415,5
4,65802125,43989,4773415,5
9,18442301,44909,4710580,5
5,6765343,44936,3215549,5
7,36409780,45039,5397591,5
3,18228606,45248,2330216,5
8,73303282,45653,3215549,5
4,55763703,45862,1582548,5
7,30225771,46218,4231085,5
5,33678170,46564,4231085,5
5,5415691,47203,5208994,5
1,46289860,47362,4966471,5
1,46298632,47362,5397591,5
1,1004295,47625,1582548,5
3,50431941,47699,3215549,5
0,20542681,48399,1582548,5
2,3718738,48425,320997,5
3,57050287,48875,4966471,5
3,57053371,48875,365938,5
5,52171690,48875,3993630,5
7,29093158,48875,5397591,5
7,29902305,48875,5397591,5
8,34258630,49198,602291,5
8,42125714,49300,709601,5
1,37556133,49521,365938,5
0,40769282,49767,365938,5
8,14604430,50324,1022665,5
6,77711062,50332,768990,5
5,25328718,50413,602291,5
2,24494253,50734,4736420,5
2,24546542,50734,765367,5
8,30216540,50734,4569749,5
7,5387749,50764,365938,5
2,23925932,51549,365938,5
8,2809731,52161,3215549,5
6,43640115,52845,365938,5
7,9119889,53040,768990,5
2,64641612,53143,4773415,5
5,28545303,53249,2609785,5
4,76210765,54120,4966471,5
9,12798845,54736,1075474,5
6,33760790,55012,2839597,5
6,33761619,55012,2839597,5
3,50608429,55066,3215549,5
8,83812756,55513,1075474,5
1,62491265,56099,4231085,5
7,52003231,56203,602291,5
9,23372273,56561,3215549,5
7,60125854,56812,3215549,5
4,63942942,57117,3215549,5
7,19047227,57961,768990,5
5,30663113,58047,1022665,5
9,39766334,58555,709601,5
7,53629176,59557,1022665,5
7,38133228,59930,709601,5
4,49078822,60099,1582548,5
9,25811493,61004,2440318,5
2,77726416,62145,4231085,5
7,23702029,62145,3993630,5
7,23702947,62145,3993630,5
6,44065404,62881,3215549,5
7,27894899,63158,2839597,5
4,47944253,63165,365938,5
5,51217198,63320,2839597,5
0,9835612,63376,1582548,5
3,56312512,63376,365938,5
4,3261341,63376,365938,5
7,4910953,63451,4773415,5
8,41061943,63481,602291,5
8,41063659,63481,602291,5
0,43650630,63968,3993630,5
9,71798612,64223,4773415,5
5,14797764,64541,4242568,5
5,15082719,64541,4242568,5
5,85267021,64784,1022665,5
