User Id,Gender,Time,Age Range,Spammer Label
1,M,0.9,30,0
190,M,0.2,50,0
270,M,0.2625,30,0
319,M,0.0,30,0
407,M,0.05,50,0
452,M,0.15,20,0
500,M,0.275,20,0
506,M,0.025,20,0
625,M,0.2375,40,0
696,M,0.025,30,0
752,M,0.7125,30,0
782,M,0.1625,30,0
860,M,0.2625,20,0
864,M,0.85,30,0
907,M,0.4875,30,0
954,M,0.6875,40,0
1072,M,0.3875,50,0
1080,M,0.6,20,0
1114,M,0.2375,40,0
1202,M,0.7,30,0
1313,M,0.9125,60,0
1421,M,0.0125,30,0
1449,M,0.325,30,0
1532,M,0.1875,30,0
1541,M,0.0,10,0
1558,M,1.0,40,0
1846,M,0.0125,50,0
1880,M,0.3375,30,0
2102,M,0.6625,40,0
2175,M,0.375,20,0
2227,M,0.5125,20,0
2353,M,0.675,30,0
2372,M,0.6625,20,0
2704,M,0.95,30,0
2765,M,0.025,70,0
2908,M,0.3125,40,0
3043,M,0.7,30,0
3050,M,0.925,20,0
3094,M,0.0375,40,0
3210,M,0.9,30,0
3274,M,0.0,10,0
3376,M,0.225,10,0
3489,M,1.0,30,0
3691,M,0.7,50,0
3823,M,0.75,30,0
4037,M,0.225,40,0
4148,M,1.0,40,0
4159,M,1.0,30,0
4168,M,0.6125,50,0
4285,M,0.0625,30,0
4377,M,0.05,10,0
4450,M,0.2375,30,0
4472,M,0.8875,30,0
5047,M,0.75,30,0
5212,M,0.0875,60,0
5256,M,0.8125,50,0
5711,M,0.3125,70,1
5851,M,0.075,30,0
5961,M,0.7375,40,0
5987,M,0.025,30,0
6075,M,0.7375,50,0
6184,M,0.1,40,0
6214,M,0.0625,30,0
6244,M,0.2875,40,0
6337,M,0.55,40,0
6376,M,0.0,50,0
6381,M,0.025,40,0
6662,M,0.725,30,0
6842,M,0.2875,50,0
6962,M,0.075,40,0
6996,M,0.225,20,0
6998,M,0.0375,20,0
7086,M,0.7625,50,0
7109,M,0.0375,20,0
7220,M,0.0125,20,0
7267,M,0.95,30,0
7488,M,0.15,30,0
7562,M,0.2375,20,0
7612,M,0.85,30,0
7713,M,0.5375,20,0
7837,M,0.425,30,0
7971,M,0.175,30,0
7981,M,0.0875,30,0
8001,M,0.675,20,0
8071,M,0.2125,30,0
8117,M,0.6375,50,1
8167,M,0.8875,30,0
8231,M,0.1375,30,0
8352,M,0.05,50,0
8360,M,0.0,20,0
8467,M,0.0875,20,0
8597,M,0.025,30,0
8655,M,0.6125,50,0
8665,M,0.6875,40,0
8682,M,1.0,30,0
8694,M,0.05,10,0
8705,M,0.225,30,0
8861,M,0.2125,20,0
8874,M,0.0625,40,0
8909,M,0.05,40,0
8988,M,0.325,50,0
8993,M,0.9,30,0
9183,M,0.25,20,0
9216,M,0.6375,40,0
9239,M,0.175,50,0
9288,M,0.6375,10,0
9352,M,0.8125,30,0
9427,M,0.525,30,0
9491,M,0.025,20,0
9494,M,0.0,30,0
9529,M,0.8,40,0
9538,M,0.075,30,0
9809,M,0.725,30,0
9864,M,0.3125,20,0
10035,M,0.0375,40,0
10187,M,0.275,40,1
10383,M,0.325,30,0
10590,M,0.4625,30,0
10688,M,0.125,30,0
10802,M,0.525,30,0
10831,M,0.0625,30,0
10947,M,0.675,30,0
10989,M,0.0875,20,0
11050,M,0.0625,10,0
11162,M,0.0,20,0
11346,M,0.1875,40,0
11400,M,0.7125,20,0
11410,M,0.0125,20,0
11440,M,0.3125,30,0
11572,M,0.3,30,1
11601,M,0.9,40,0
11656,M,0.0125,30,0
11673,F,0.0375,20,0
11803,M,0.1625,20,0
12003,M,0.3875,20,0
12094,M,0.15,20,0
12228,M,0.6,20,0
12236,M,0.8625,30,0
12272,M,0.2,30,0
12280,M,0.425,30,0
12303,M,0.05,30,0
12388,M,0.0,30,0
12448,M,0.9,50,0
12459,M,0.525,40,0
12508,M,1.0,40,0
12659,M,0.225,40,0
12688,M,0.3125,20,0
12842,M,0.4625,60,0
12859,M,0.55,60,0
12940,M,1.0,30,0
13040,M,0.625,40,0
13146,M,0.6875,40,0
13166,M,0.6125,30,0
13316,M,0.3,30,0
13407,M,0.0625,30,0
13514,M,0.9125,30,0
13551,M,0.2,30,0
13565,M,0.0125,20,0
13596,M,0.2375,30,0
13730,M,0.3625,20,0
13781,M,0.4375,20,0
13974,M,0.625,30,0
14075,M,0.1125,20,0
14119,M,0.95,40,0
14128,M,0.6625,20,0
14147,M,0.025,10,0
14161,M,0.05,50,1
14168,M,0.5,30,0
14274,M,0.025,20,0
14282,M,0.6625,40,0
14298,M,0.1625,20,0
14319,M,0.325,30,0
14320,M,0.7875,70,0
14369,M,0.3,20,0
14515,M,0.7,40,0
14556,M,0.375,30,0
14559,M,0.2625,40,0
14685,M,0.525,40,0
14755,M,0.0125,50,1
14822,M,0.0875,20,0
14825,M,0.5625,20,0
14853,M,0.9,30,0
14913,M,0.0,20,0
14967,M,0.325,40,0
15007,M,0.5375,30,0
15024,M,0.9375,60,0
15288,M,0.275,40,0
15331,M,0.55,40,0
15474,M,0.2375,30,0
15506,M,0.7625,30,0
15508,M,1.0,20,0
15628,M,0.3875,30,0
15758,M,0.9,30,0
15834,M,0.3,40,0
15854,M,0.0125,30,0
16018,M,0.4,30,0
16091,M,0.8625,20,0
16144,M,0.225,30,0
16146,M,0.75,50,0
16290,M,0.175,30,0
16312,M,0.1625,40,0
16863,M,0.1625,40,0
16975,M,0.1625,30,0
17019,M,0.7625,30,0
17183,M,0.375,10,0
17186,M,0.1625,30,0
17728,M,0.4625,40,0
17863,M,0.075,10,0
17864,M,0.8625,30,0
18014,M,0.1375,40,0
18047,M,0.4375,40,0
18211,M,0.95,20,0
18509,M,0.925,20,0
18521,M,0.175,20,0
18534,M,0.625,50,0
18677,M,0.9,50,0
18706,M,0.8125,30,0
18707,M,0.1375,20,0
18754,M,0.025,30,1
18942,M,0.2125,40,0
19053,M,1.0,20,0
19091,M,0.075,30,0
19120,M,0.0125,30,0
19154,M,0.575,50,0
19155,M,0.65,30,0
19209,M,0.9,40,0
19275,M,0.0,20,0
19388,M,0.0125,40,1
19686,M,0.05,20,0
19859,M,0.025,40,0
19880,M,0.775,20,0
19961,M,0.7,70,0
20161,M,0.05,30,1
20479,M,0.8875,20,0
20571,M,0.1375,30,0
20662,M,0.6625,20,0
20779,M,0.125,50,1
20798,M,0.0,30,0
20883,M,0.65,30,0
20910,M,1.0,60,0
21003,M,0.4375,40,0
21107,M,0.3375,30,0
21130,M,0.675,40,0
21201,M,0.2625,30,0
21259,M,0.0875,30,0
21405,M,0.475,30,0
21494,M,0.6875,40,0
21525,M,0.1,20,0
21597,M,0.4875,30,0
21609,M,0.625,60,0
21647,M,0.6625,40,0
21756,M,0.15,20,0
21775,M,0.75,40,0
21781,M,0.1125,30,0
22034,M,0.075,20,0
22061,M,0.075,30,0
22168,M,0.0375,30,0
22337,M,0.125,30,0
22386,M,0.7375,60,0
22445,M,0.6375,40,0
22530,M,0.0125,20,0
22537,M,0.0125,30,0
22662,M,0.95,40,0
22697,M,0.0875,30,0
22795,M,0.3125,20,0
22812,M,0.675,30,0
23175,M,0.1875,30,0
23182,M,0.55,40,0
23242,M,0.65,60,0
23253,M,0.05,30,0
