,node_idx,User Id,Time,Gender,Age Range,Spammer Label
0,0,1,0.9,M,30,0
1,1,190,0.2,M,50,0
2,2,270,0.2625,M,30,0
3,3,319,0.0,M,30,0
4,4,407,0.05,M,50,0
5,5,452,0.15,M,20,0
6,6,500,0.275,M,20,0
7,7,506,0.025,M,20,0
8,8,625,0.2375,M,40,0
9,9,696,0.025,M,30,0
10,10,752,0.7125,M,30,0
11,11,782,0.1625,M,30,0
12,12,860,0.2625,M,20,0
13,13,864,0.85,M,30,0
14,14,907,0.4875,M,30,0
15,15,954,0.6875,M,40,0
16,16,1072,0.3875,M,50,0
17,17,1080,0.6,M,20,0
18,18,1114,0.2375,M,40,0
19,19,1202,0.7,M,30,0
20,20,1313,0.9125,M,60,0
21,21,1421,0.0125,M,30,0
22,22,1449,0.325,M,30,0
23,23,1532,0.1875,M,30,0
24,24,1541,0.0,M,10,0
25,25,1558,1.0,M,40,0
26,26,1846,0.0125,M,50,0
27,27,1880,0.3375,M,30,0
28,28,2102,0.6625,M,40,0
29,29,2175,0.375,M,20,0
30,30,2227,0.5125,M,20,0
31,31,2353,0.675,M,30,0
32,32,2372,0.6625,M,20,0
33,33,2704,0.95,M,30,0
34,34,2765,0.025,M,70,0
35,35,2908,0.3125,M,40,0
36,36,3043,0.7,M,30,0
37,37,3050,0.925,M,20,0
38,38,3094,0.0375,M,40,0
39,39,3210,0.9,M,30,0
40,40,3274,0.0,M,10,0
41,41,3376,0.225,M,10,0
42,42,3489,1.0,M,30,0
43,43,3691,0.7,M,50,0
44,44,3823,0.75,M,30,0
45,45,4037,0.225,M,40,0
46,46,4148,1.0,M,40,0
47,47,4159,1.0,M,30,0
48,48,4168,0.6125,M,50,0
49,49,4285,0.0625,M,30,0
50,50,4377,0.05,M,10,0
51,51,4450,0.2375,M,30,0
52,52,4472,0.8875,M,30,0
53,53,5047,0.75,M,30,0
54,54,5212,0.0875,M,60,0
55,55,5256,0.8125,M,50,0
56,56,5711,0.3125,M,70,1
57,57,5851,0.075,M,30,0
58,58,5961,0.7375,M,40,0
59,59,5987,0.025,M,30,0
60,60,6075,0.7375,M,50,0
61,61,6184,0.1,M,40,0
62,62,6214,0.0625,M,30,0
63,63,6244,0.2875,M,40,0
64,64,6337,0.55,M,40,0
65,65,6376,0.0,M,50,0
66,66,6381,0.025,M,40,0
67,67,6662,0.725,M,30,0
68,68,6842,0.2875,M,50,0
69,69,6962,0.075,M,40,0
70,70,6996,0.225,M,20,0
71,71,6998,0.0375,M,20,0
72,72,7086,0.7625,M,50,0
73,73,7109,0.0375,M,20,0
74,74,7220,0.0125,M,20,0
75,75,7267,0.95,M,30,0
76,76,7488,0.15,M,30,0
77,77,7562,0.2375,M,20,0
78,78,7612,0.85,M,30,0
79,79,7713,0.5375,M,20,0
80,80,7837,0.425,M,30,0
81,81,7971,0.175,M,30,0
82,82,7981,0.0875,M,30,0
83,83,8001,0.675,M,20,0
84,84,8071,0.2125,M,30,0
85,85,8117,0.6375,M,50,1
86,86,8167,0.8875,M,30,0
87,87,8231,0.1375,M,30,0
88,88,8352,0.05,M,50,0
89,89,8360,0.0,M,20,0
90,90,8467,0.0875,M,20,0
91,91,8597,0.025,M,30,0
92,92,8655,0.6125,M,50,0
93,93,8665,0.6875,M,40,0
94,94,8682,1.0,M,30,0
95,95,8694,0.05,M,10,0
96,96,8705,0.225,M,30,0
97,97,8861,0.2125,M,20,0
98,98,8874,0.0625,M,40,0
99,99,8909,0.05,M,40,0
100,100,8988,0.325,M,50,0
101,101,8993,0.9,M,30,0
102,102,9183,0.25,M,20,0
103,103,9216,0.6375,M,40,0
104,104,9239,0.175,M,50,0
105,105,9288,0.6375,M,10,0
106,106,9352,0.8125,M,30,0
107,107,9427,0.525,M,30,0
108,108,9491,0.025,M,20,0
109,109,9494,0.0,M,30,0
110,110,9529,0.8,M,40,0
111,111,9538,0.075,M,30,0
112,112,9809,0.725,M,30,0
113,113,9864,0.3125,M,20,0
114,114,10035,0.0375,M,40,0
115,115,10187,0.275,M,40,1
116,116,10383,0.325,M,30,0
117,117,10590,0.4625,M,30,0
118,118,10688,0.125,M,30,0
119,119,10802,0.525,M,30,0
120,120,10831,0.0625,M,30,0
121,121,10947,0.675,M,30,0
122,122,10989,0.0875,M,20,0
123,123,11050,0.0625,M,10,0
124,124,11162,0.0,M,20,0
125,125,11346,0.1875,M,40,0
126,126,11400,0.7125,M,20,0
127,127,11410,0.0125,M,20,0
128,128,11440,0.3125,M,30,0
129,129,11572,0.3,M,30,1
