,relation,node_idx,node_idx_dst
0,5,0,44200
1,5,0,35227
2,5,0,17727
3,5,0,57804
4,5,0,25958
5,5,0,49691
6,5,0,54552
7,5,0,55047
8,5,0,47002
9,5,0,11514
10,5,0,49002
11,5,0,35605
12,5,0,13748
13,5,0,59898
14,5,0,57165
15,5,0,28955
16,5,0,46877
17,5,0,46877
18,5,0,7957
19,5,0,31532
20,5,0,22391
21,5,0,26287
22,5,0,4091
23,5,0,6752
24,5,0,52781
25,5,0,8632
26,5,0,8984
27,5,0,132
28,5,0,52866
29,5,0,52199
30,5,0,11369
31,5,0,46748
32,5,2,55047
33,5,2,44200
34,5,3,31532
35,5,4,31532
36,5,8,52866
37,5,9,8632
38,5,13,28955
39,5,15,35605
40,5,18,52866
41,5,24,35605
42,5,27,47002
43,5,30,4091
44,5,31,59898
45,5,36,16953
46,5,39,44200
47,5,40,31532
48,5,46,11972
49,5,49,17727
50,5,49,25958
51,5,51,52199
52,5,54,35605
53,5,55,31532
54,5,62,44200
55,5,62,35227
56,5,62,35227
57,5,62,44200
58,5,62,55047
59,5,65,227
60,5,65,21523
61,5,69,35605
62,5,74,8632
63,5,76,4091
64,5,76,59898
65,5,79,4091
66,5,87,11369
67,5,89,7957
68,5,93,7957
69,5,98,6752
70,5,106,31532
71,5,108,11369
72,5,109,11972
73,5,113,4091
74,5,115,55047
75,5,116,52199
76,5,118,4091
77,5,119,52866
78,5,122,25958
79,5,124,28955
80,5,134,46877
81,5,139,6752
82,5,141,35605
83,5,143,8632
84,5,145,57165
85,5,150,11369
86,5,151,52866
87,5,154,59898
88,5,159,4091
89,5,166,8632
90,5,170,44200
91,5,171,45205
92,5,171,44559
93,5,171,52535
94,5,171,14824
95,5,171,49112
96,5,171,54852
97,5,177,6752
98,5,181,17727
99,5,183,6752
100,5,192,52866
101,5,197,26287
102,5,198,26287
103,5,199,47002
104,5,200,4091
105,5,208,55047
106,5,209,35605
107,5,210,11369
108,5,218,54552
109,5,221,4091
110,5,225,52866
111,5,227,53512
112,5,227,33878
113,5,230,31532
114,5,233,55047
115,5,236,7957
116,5,238,28955
117,5,239,8632
118,5,240,6752
119,5,241,35605
120,5,242,35605
121,5,244,55047
122,5,261,4091
123,5,265,8632
124,5,271,52866
125,5,272,55047
126,5,273,7957
127,5,274,31532
128,5,275,28955
129,5,276,4091
130,5,276,17727
131,5,279,47002
132,5,283,57804
133,5,283,57804
134,5,283,44200
135,5,283,44200
136,5,286,25958
137,5,287,31532
138,5,295,11369
139,5,297,7957
140,5,302,35605
141,5,303,46877
142,5,307,25958
143,5,307,57804
144,5,316,55047
145,5,317,57804
146,5,320,28955
147,5,323,7957
148,5,323,7957
149,5,326,11369
150,5,329,35605
151,5,330,57165
152,5,332,8632
153,5,333,7957
154,5,334,5376
155,5,341,52199
156,5,343,25958
157,5,344,8632
158,5,349,6752
159,5,351,7957
160,5,352,8632
161,5,354,11369
162,5,355,4091
163,5,358,8632
164,5,361,52866
165,5,372,7957
166,5,376,7957
167,5,377,54552
168,5,380,17727
169,5,382,7957
170,5,384,52866
171,5,391,11369
172,5,392,35605
173,5,393,6752
174,5,395,4091
175,5,401,46877
176,5,402,11369
177,5,403,52866
178,5,405,52866
179,5,405,52866
180,5,406,22391
181,5,407,13748
182,5,410,44200
183,5,414,52866
184,5,415,22114
185,5,415,24914
186,5,424,11369
187,5,428,6752
188,5,428,6752
189,5,430,6752
190,5,431,35605
191,5,451,35605
192,5,452,4091
193,5,454,52866
194,5,460,17727
195,5,466,44200
196,5,467,35605
197,5,469,7957
198,5,473,6752
199,5,474,49002
200,5,476,132
201,5,482,8632
202,5,486,35605
203,5,487,55047
204,5,491,54552
205,5,492,35605
206,5,494,7957
207,5,499,26287
208,5,506,52199
209,5,507,35227
210,5,508,25958
211,5,513,52866
212,5,515,11369
213,5,520,52866
214,5,520,52866
215,5,530,52199
216,5,531,35605
217,5,533,59898
218,5,534,25958
219,5,539,35605
220,5,541,17727
221,5,548,46877
222,5,551,46877
